Series Name,Series Code,Country Name,Country Code,2015 [YR2015],,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Israel,ISR,11336200000,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Italy,ITA,13303439230,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Jamaica,JAM,924977863.7,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Japan,JPN,5252218412,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Jordan,JOR,1600281690,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Kazakhstan,KAZ,6577824050,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Kenya,KEN,619724465,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Kiribati,KIR,-819824.3529,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Korea, Dem. People's Rep.",PRK,..,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Korea, Rep.",KOR,4104100000,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Kosovo,XKX,343350610.6,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Kuwait,KWT,284647623.8,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Kyrgyz Republic,KGZ,1144054000,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Lao PDR,LAO,1077759915,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Latvia,LVA,812843819.5,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Lebanon,LBN,2159289952,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Lesotho,LSO,113220010.4,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Liberia,LBR,232679832.5,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Libya,LBY,..,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Liechtenstein,LIE,80400430108,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Lithuania,LTU,1036954106,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Luxembourg,LUX,45432153560,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Macao SAR, China",MAC,486517486.3,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,North Macedonia,MKD,296604200.4,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Madagascar,MDG,328059305.6,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Malawi,MWI,287746689.2,,,,,,
